Neighborhood,Neighborhood_real,Venue Category,Venue,Neighborhood_Latitude,Neighborhood_Longitude,location_address,location_formattedAddress,location_crossStreet,location_neighborhood,id,location_postalCode,location_city,location_state,location_country,Venue_Category_Real,categories_name,categories_pluralName,cluster_label
Baroda House / paharganj,Chilla ,Education,"Amity International School,East Delhi",28.59870141,77.29821105,"Sahakarita Marg,mayur vihar phase-1","Sahakarita Marg,mayur vihar phase-1 (Chilla Sarda Bangar)",Chilla Sarda Bangar,Chilla,4d44eb45e198721e4238c18b,110091,New Delhi,Delhi,India,High School,High School,High Schools,22
Sarojini Nagar,,Education,Kendriya vidyalaya 2,28.56299294,77.18718268,,India,,New Delhi,524791b2498ef6eea2eee369,,New Delhi,Delhi,India,High School,High School,High Schools,2
Sagarpur / Rohini,,Education,"St. Mark's Senior Secondary Public School, Meera Bagh",28.65915533,77.08736996,,New Delhi,,New Delhi,4d2a9ac3849f3704abeb8941,,New Delhi,Delhi,India,High School,High School,High Schools,31
Sarojini Nagar,Chanakyapuri,Education,British School,28.59713166,77.18057864,Jose P Rizal Marg,Jose P Rizal Marg,,Jose P Rizal Marg,515b9340e4b03192d48c0c51,,New Delhi,Delhi,India,High School,High School,High Schools,38
Greater Kailash,Greater Kailash,Education,Bluebells School,28.55862934,77.23808152,,India,,New Delhi,4d0dc930be6d6ea8142607b5,,New Delhi,Delhi,India,High School,High School,High Schools,33
Rajouri Garden,,Education,Cambridge Foundation School,28.63986566,77.11436749,Rajouri Garden Extension,Rajouri Garden Extension (G-8 Rajouri Garden),G-8 Rajouri Garden,G-8 Rajouri Garden,4e662faeb993678bb83c634c,,New Delhi,Delhi,India,High School,High School,High Schools,27
Aliganj ,Andrewsganj ,Education,Father Agnel School,28.56086461,77.21426323,Gautam Nagar,Gautam Nagar (Near National Chest Institute),Near National Chest Institute,Andrewsganj,4d29dc90ec272d434b93374c,110049,New Delhi,Delhi,India,High School,High School,High Schools,2
Anand Vihar ,,Education,mayur public school,28.61982066,77.29450263,,India,,New Delhi,4fea83ede4b0857fc558fbf3,,New Delhi,Delhi,India,High School,High School,High Schools,1
Aliganj ,,Education,N.P. Co-Ed Sr. Secondary School,28.599251,77.228377,,India,,New Delhi,52f6e8de498eabe0f2a0f42c,,New Delhi,Delhi,India,High School,High School,High Schools,26
Aliganj ,,Education,Shikshantar school,28.45407743,77.06566835,South City,South City,,South City,502f2fa0e4b01a4fc167217c,,New Delhi,Delhi,India,High School,High School,High Schools,0
"Sector 31, 32, 38, 39, 41, 43, 45, 47, 49, 50 Gurugram",,Education,Excelsior American School,28.45670915,77.08889865,,India,,New Delhi,4f373d5fe4b099ca9440369d,,New Delhi,Delhi,India,High School,High School,High Schools,34
Vasant Kunj,,Education,Tagore International School Vasant Vihar,28.56938774,77.16225277,,New Delhi,,New Delhi,4bd64a4c4e32d13ac482c280,,New Delhi,Delhi,India,High School,High School,High Schools,38
Sarojini Nagar,Ansari Nagar ,Education,St. Mary's school,28.563893,77.196043,B-2 Safdarjung Enclave,B-2 Safdarjung Enclave (Sarah Mathew Lane),Sarah Mathew Lane,Nauroji Nagar,4cf2a579b3662c0fc2187a30,110029,New Delhi,Delhi,India,High School,High School,High Schools,2
Masood Pur ,Masood Pur ,Education,bhatnagar international school,28.52672151,77.1611182,"b-10 , vasant kunj","b-10 , vasant kunj",,Masood Pur,4e1ca4a9d1649b0f7929aae8,110070,New Delhi,Delhi,India,High School,High School,High Schools,25
Lajpat Nagar,Sant Nagar,Education,Tagore International School,28.55866823,77.24198307,East of Kailash,East of Kailash,,East of Kailash,4d4a95925241236a4f058104,,New Delhi,Delhi,India,High School,High School,High Schools,33
Faridabad,,Education,Summer Fields School,28.46748426,77.10439238,DLF Phase 1,DLF Phase 1 (Qutab Enclave Complex),Qutab Enclave Complex,Qutab Enclave Complex,5111d885e4b02ecb4fbef0e8,,New Delhi,Delhi,India,High School,High School,High Schools,7
Greater Kailash,,Education,Jagriti Public School,28.502154,77.247198,,India,,New Delhi,5295dde611d21b0f793536f9,,New Delhi,Delhi,India,High School,High School,High Schools,15
Karol Bagh,Anand Parbat ,Education,Anand parbat,28.6621692,77.18339214,,Ghati road,Ghati road,Anand Parbat,4e4ce03862e1e5f4671c56af,110005,New Delhi,Delhi,India,High School,High School,High Schools,5
Anand Vihar ,Anand Vihar ,Education,St. Andrews Scots Sr. Sec. School,28.63584807,77.29937237,9th Avenue,"9th Avenue (I.P. Extension, Patparganj)","I.P. Extension, Patparganj",Anand Vihar,4e873ada77c8dc447fadd17e,110092,New Delhi,Delhi,India,High School,High School,High Schools,1
Karol Bagh,,Education,"Pathways World School, Gurgaon",28.42099493,77.13694687,,India,,New Delhi,50b0923ae4b0b7c94ae48778,,New Delhi,Delhi,India,High School,High School,High Schools,24
Sagarpur / Rohini,,Education,Springdales School,28.64453597,77.19646454,Pusa Road,Pusa Road (btw Pusa Road & Vandemataram Marg),btw Pusa Road & Vandemataram Marg,btw Pusa Road & Vandemataram Marg,4c95fff315829521665a26a8,India,New Delhi,Delhi,India,High School,High School,High Schools,5
Rajouri Garden,,Education,Sachdeva Public School,28.72331717,77.12815455,,India,,New Delhi,4d4cb5df4aa3a09393e03aae,,New Delhi,Delhi,India,High School,High School,High Schools,32
Baroda House / paharganj,Union Public Service Commission ,Education,Kanya vidyalaya,28.589101,77.302465,Ashok nagar,Ashok nagar,,Union Public Service Commission,4cff1924202e224b0193ac2a,110069,New Delhi,Delhi,India,High School,High School,High Schools,22
Vasant Kunj,Paharganj,Gym,The Pearl Hotel Fitness Center Delhi,28.64481,77.214228,,India,,New Delhi,5837b2a544587f27e9f48886,,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,13
Karol Bagh,Vasant Vihar-1 ,Gym,Vasant Vihar Club,28.56392778,77.1561967,Pashchim Marg,Pashchim Marg,,Vasant Vihar-1,4b9bb823f964a520a11d36e3,110057,New Delhi,Delhi,India,Gym,Gym,Gyms,25
"Sector 31, 32, 38, 39, 41, 43, 45, 47, 49, 50 Gurugram",,Gym,Golds Gym (Pusa Road),28.64332169,77.1839756,,New Delhi,,New Delhi,4da7c2045da3ef8bf14f71fb,,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,5
Shahdara,,Gym,Ozone Fitness Center,28.45849468,77.08299762,,Gurgaon,,Gurgaon,4d8ed7facb9b224b74998e41,,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,34
Shahdara,Anand Vihar ,Gym,Body Mechanics,28.65976667,77.31017145,"68, Ram Vihar","68, Ram Vihar",,Anand Vihar,54a0a8a8498ee641a56bff80,110092,New Delhi,Delhi,India,Gym,Gym,Gyms,36
Greater Kailash ,Greater Kailash ,Gym,Talwalkars,28.53349779,77.24387673,Greater Kailash Part Two,Greater Kailash Part Two,,Greater Kailash,4cc3ff2442d1b60c5cfa1a13,110048,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,15
Saket,Sarvodaya Enclave,Gym,The Big Guns,28.53250215,77.20853096,,India,,New Delhi,4e304c3c52b111a1e38c52f5,,New Delhi,Delhi,India,Gym,Gym,Gyms,23
Sagarpur / Rohini,,Gym,Anytime Fitness,28.70349638,77.16184222,AL Market,AL Market,,AL Market,534dfabc498eb8aaf2a5abe8,,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,11
Karol Bagh,Dada Ghosh Bhawan ,Gym,The Gym Health Planet,28.645124,77.170565,Jun-15,6/15 (East Patel Nagar),East Patel Nagar,Dada Ghosh Bhawan,4dbc2e6da86e0e98a1dc4f6e,110008,New Delhi,Delhi,India,Gym,Gym,Gyms,5
"Sector 2, 18, 19, 25, 26, 27, 30, 36, 44, 51, 55, 61, 62, 92, 93 Noida",,Gym,Addiction Gym,28.58454796,77.33803129,Sector 25 Market,Sector 25 Market,,Sector 25 Market,52c6ca8a498ef1a96c9a85ed,,New Delhi,Delhi,India,Gym,Gym,Gyms,22
Greater Kailash,,Gym,Club X-Cell,28.55635571,77.22945999,B-7 GK 1,B-7 GK 1,,B-7 GK 1,4d689c9d1b63a1cda8fd342d,,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,33
Anand Vihar ,Anand Vihar ,Gym,Cure Fit,28.63915,77.292403,,New Delhi 110092,,Anand Vihar,5daea264e520770008328b34,110092,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,1
Shahdara,Babarpur ,Gym,Gym Box Health Care,28.676403,77.28289,D-17 panchsheel garden,D-17 panchsheel garden (Naveen shahdara),Naveen shahdara,Balbir Nagar,59df4de673fe25483cf53df5,110032,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,36
Rajouri Garden,Janta Market ,Gym,Gold's Gym,28.64618332,77.12634263,"Main Rd, Rajouri Garden","Main Rd, Rajouri Garden (Rajouri Garden)",Rajouri Garden,Janta Market,4c1f743ffcf8c9b61da5ae0b,110027,New Delhi,Delhi,India,Gym,Gym,Gyms,27
"Sector 26, 26A, 27, 28, 29, 30 Gurugram",,Gym,Body zone Fitness centre @ Crowne Plaza,28.4679343,77.0597884,,India,,New Delhi,51169742e4b059beb5b22e93,,New Delhi,Delhi,India,Gym,Gym,Gyms,0
Masood Pur ,Masood Pur ,Gym,BoulderBox,28.52931831,77.14896798,"OCF, Pocket 9, Sector B, Vasant Kunj,","OCF, Pocket 9, Sector B, Vasant Kunj,",,Masood Pur,5dd9008644c9c4000840fcb9,110070,New Delhi,Delhi,India,Climbing Gym,Climbing Gym,Climbing Gyms,25
Rajouri Garden,Amberhai ,Gym,Anytime Fitness,28.585762,77.071431,Ramphal Chowk Road,Ramphal Chowk Road (Sector 7 Market Dwarka),Sector 7 Market Dwarka,Amberhai,5e3c0536ba5bc4000824b37f,110075,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,12
Vasant Kunj,,Gym,Fluid Gym Vasant Kunj,28.51872234,77.16117584,Opp Fortis Hospital,Opp Fortis Hospital (Vasant Kunj),Vasant Kunj,Vasant Kunj,50782cede4b08350eb68db29,,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,25
Lajpat Nagar,,Gym,Vardan - live efficiently,28.56521956,77.23723445,Lajpat Nagar,Lajpat Nagar,,Lajpat Nagar,5328090c498e3f9c497dcf13,,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,33
Lajpat Nagar,Sant Nagar,Gym,Golds Gym,28.55581189,77.24156603,Gk / East Kailash,Gk / East Kailash (Lala Lajpath Rai Rd),Lala Lajpath Rai Rd,Lala Lajpath Rai Rd,4cc574d0b2beb1f747a2224c,,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,33
Sarojini Nagar,Kidwai Nagar East ,Gym,The Leela Palace Fitness Center,28.580082,77.189532,"Africa Ave, Diplomatic Enclave","Africa Ave, Diplomatic Enclave",,Kidwai Nagar East,5db50ddc8813f2000767c4d1,110023,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,38
Chakkarpur ,Chakkarpur ,Gym,Measure Gym 'n' Spa,28.42873237,77.09871782,HUDA Market,HUDA Market (Sector 56),Sector 56,Sector 56,4fc5912ee4b0d1962ee3baca,122002,New Delhi,Delhi,India,Gym,Gym,Gyms,24
Greater Noida,,Gym,Jaypee Sports Complex,28.47132129,77.52611012,,Greater Noida,,Greater Noida,4df89cf018a801cd9f135be5,,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,10
Dwarka,,Gym,Golds Gym,28.58799735,77.0714131,,New Delhi,,New Delhi,4e48cfdda809fb2fa409ea38,,New Delhi,Delhi,India,Gym,Gym,Gyms,12
Sarojini Nagar,,Gym,Fitness Center @ The Leela Palece New Delhi,28.58004888,77.1895861,,India,,New Delhi,50878fa6e4b0339e5af944c9,,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,38
Faridabad,Sector 16 - Faridabad,Gym,CLA Fitness,28.409161,77.320071,,Far?d?b?d 121002,,Far?d?b?d 121002,5a9d3f93911fc411e7b1370f,121002,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,4
Lajpat Nagar,Alaknanda ,Gym,Cult Fit Epicuria,28.55123445,77.25244164,Epicuria Nehru place,Epicuria Nehru place (concourse level),concourse level,Alaknanda,5555d21a498efb7ce7a4b0d8,110019,New Delhi,Delhi,India,Gym,Gym,Gyms,15
Sarojini Nagar,,Gym,Fitness center @ Taj Palace Hotel,28.595203,77.17052026,,New Delhi,,New Delhi,506c1486e4b0fa7d3a79737f,,New Delhi,Delhi,India,Gym,College Gym,College Gyms,38
"Sector 53, 54, 55, 58, 59, 62, 65, 66, 67, 69, 70, 72 Gurugram",Bhondsi ,Gym,Escape Gym,28.408016,77.06073,,Gurugram 122102,,Gurugram 122102,5b6a402a95a722003a27eccc,122102,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,18
,,Entertainment,Double Tree Pool,28.421846,77.104118,,India,,New Delhi,53f08e11498e381a6cae1b0a,,New Delhi,Delhi,India,Pool,Gym Pool,Gym Pools,24
"Sector 53, 54, 55, 58, 59, 62, 65, 66, 67, 69, 70, 72 Gurugram",Bhondsi ,Gym,Cult Baani Sector 56,28.421498,77.104956,,Gurugram 122102,,Gurugram 122102,5a2787888c812a1d157a219b,122102,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,24
Karol Bagh,Dada Ghosh Bhawan ,Gym,Tamaya,28.642312,77.175279,Jaypee Siddharth Exit Road,Jaypee Siddharth Exit Road (Inside Jaypee Siddharth),Inside Jaypee Siddharth,Dada Ghosh Bhawan,5c166a242a7ab6002cce3c72,110008,New Delhi,Delhi,India,Gym,Gym,Gyms,5
Arjun Nagar ,Arjun Nagar ,Gym,Gold's Gym,28.45070005,77.07864706,"Gold Souk, 3rd Floor","Gold Souk, 3rd Floor (Sector 43, Sushant Lok 1)","Sector 43, Sushant Lok 1","Sector 43, Sushant Lok 1",5516c3d6498ea99fe4b638ea,122001,New Delhi,Delhi,India,Gym,Gym,Gyms,34
Greater Kailash,,Gym,Talwalkars,28.54197,77.231363,,gk2,gk2,gk2,4dac48290cb6a89c6293933d,,New Delhi,Delhi,India,Gym,Gym,Gyms,15
Greater Noida,"Gamma 1, Greater Noida",Gym,Garage Fitness,28.479113,77.50042,,Greater Noida 201308,,Greater Noida 201308,5903e282b546187ea5ae5892,201308,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,10
"Sector 26, 26A, 27, 28, 29, 30 Gurugram",,Gym,Anytime Fitness,28.46588151,77.09983078,,Gurugram,,Gurugram,58beb68a0e0a1e57cfb8f534,,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,7
Chakkarpur ,Chakkarpur ,Gym,Anytime Fitness Golf Course Road,28.442395,77.101022,,Gurugram 122002,,Gurugram 122002,5dc6d4f4a2ed66000a071941,122002,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,24
Sarojini Nagar,Anand Niketan ,Gym,gym @ taj palace,28.595414,77.170641,Taj Palace Hotel,Taj Palace Hotel,,Anand Niketan,5c1a6574bfc6d0002ccf5021,110021,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,38
Palam Vihar,,Gym,Reform Gym & Spa,28.51179675,77.02754149,Palam Vihar Extension,Palam Vihar Extension,,Palam Vihar Extension,568a84f7498e8626da09a457,,New Delhi,Delhi,India,Gym,Gym,Gyms,30
Rajouri Garden,,Gym,ozOne,28.6502744,77.1205167,,India,,New Delhi,538ad2b7498eed7dcdb28b06,,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,27
Arjun Nagar ,Arjun Nagar ,Gym,Aimfit Gym,28.470135,77.042276,Sundar Singh Marg,Sundar Singh Marg (Old DLF Colony),Old DLF Colony,Old DLF Colony,5da740015e311600088b4093,122001,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,0
Faridabad,Sector 15 - Faridabad,Health,Diet Clinic Faridabad Sector 15,28.395298,77.324488,"Shop No 18, Sector 15 Main Marker","Shop No 18, Sector 15 Main Marker",,"Shop No 18, Sector 15 Main Marker",5b04f75b4f0e58002ccb43e9,121007,New Delhi,Delhi,India,Nutritionist,Nutritionist,Nutritionists,4
"Sector 31, 32, 38, 39, 41, 43, 45, 47, 49, 50 Gurugram",,Club,Club South Patio,28.41790083,77.05411722,"Gurgaon, Haryana","Gurgaon, Haryana (South City 2)",South City 2,South City 2,4bcaa9f9cc8cd13a0538becf,,New Delhi,Delhi,India,Club,Club House,Club Houses,18
Ghaziabad,,Gym,Gold's Gym,28.63415028,77.36039088,Indirapuram,Indirapuram (Gaur gravity mall),Gaur gravity mall,Gaur gravity mall,4d24885253e4a09324368877,,New Delhi,Delhi,India,Gym,Gym,Gyms,8
Saket,Khirki Village,Gym,Anytime Fitness,28.53507221,77.21039496,,India,,New Delhi,5520182c498e69affab84d79,,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,23
Ghaziabad,Raj Nagar Ghaziabad,Gym,Gold's Gym,28.67362822,77.44315178,Rajnagar District Center,Rajnagar District Center (Rajnagar),Rajnagar,Rajnagar,51578d5ae4b00bf3ace0e2f7,201002,New Delhi,Delhi,India,Gym,Gym,Gyms,17
Rajouri Garden,Ashoka Park Extn. ,Health,Diet Clinic Punjabibagh,28.66478727,77.12954476,"6LGF, A15, Geeta Bhawan,","6LGF, A15, Geeta Bhawan, (Club Road)",Club Road,Ashoka Park Extn.,54fabc1f498e3692ae55c4f1,110026,New Delhi,Delhi,India,Health & Beauty,Health & Beauty Service,Health & Beauty Services,27
Civil Lines,DR.MUKERJEE NAGAR,Health,Diet Clinic Gujranwala Town North Delhi,28.6979011,77.19337153,"224, Gujranwala Town, part 3","224, Gujranwala Town, part 3 (Lala Achintaram Marg)",Lala Achintaram Marg,Dr.Mukerjee Nagar,5806fcca38fae41af3c912eb,110009,New Delhi,Delhi,India,Nutritionist,Nutritionist,Nutritionists,20
Faridabad,,Gym,"Anytime Fitness, Faridabad",28.40951334,77.32037145,Sector 16,Sector 16 (HUDA Market),HUDA Market,HUDA Market,5630b1a7498ec85e7077ffed,,New Delhi,Delhi,India,Gym,Gym,Gyms,4
Sagarpur / Rohini,,Gym,RDX Gym & Spa,28.71464528,77.14519926,,India,,New Delhi,51d8359f498e44075bf5b2de,,New Delhi,Delhi,India,Gym / Fitness,Gym / Fitness Center,Gyms or Fitness Centers,11
Connaught Place,Baroda House ,Hotel,HOTEL SARAVANA BHAVAN,28.63231947,77.21644532,"P-13/90, Connaught Circus","P-13/90, Connaught Circus",,Baroda House,519ba450498eb0c559152d94,110001,New Delhi,Delhi,India,South Indian,South Indian Restaurant,South Indian Restaurants,13
,,Hotel,Mame Da Dhaba,28.48985544,77.09479965,,India,,New Delhi,4f28166ee4b015cb4e761e80,,New Delhi,Delhi,India,Vegetarian / Vegan,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,19
Sagarpur / Rohini,Adarsh Nagar,Hotel,Kake ka Dhaba,28.71993,77.17416,,India,,New Delhi,4fe607bbe4b079b38117e679,,New Delhi,Delhi,India,Vegetarian / Vegan,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,20
Rajouri Garden,Amberhai ,Hotel,Pind balluchi,28.64785914,77.12031676,Sector 6,Sector 6,,Amberhai,53d4d18a498e55e1fb6cf91c,110075,New Delhi,Delhi,India,Vegetarian / Vegan,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,27
Sagarpur / Rohini,,Hotel,Tulsi Pure Veg,28.72414207,77.11432648,,India,,New Delhi,52347790498e6984e669a6d5,,New Delhi,Delhi,India,Vegetarian / Vegan,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,32
Karol Bagh,,Hotel,Tadak Punjabi,28.64143181,77.18503571,,India,,New Delhi,4f7417d2e4b0ab2908151698,,New Delhi,Delhi,India,Vegetarian / Vegan,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,5
"Sector 11, 12, 14, 15, 16, 24, 25 Gurugram",,Hotel,Santushti,28.4951059,77.0921119,Dlf cyber city,Dlf cyber city,,Dlf cyber city,4e43faaf18a8bafc628e1da9,,New Delhi,Delhi,India,Vegetarian / Vegan,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,19
Sagarpur / Rohini,,Hotel,Wah ji Wah,28.71592188,77.13373901,Prashant Vihar,Prashant Vihar,,Prashant Vihar,4e7c6f3b899821573ce10fcb,,New Delhi,Delhi,India,Vegetarian / Vegan,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,11
Ghaziabad,,Hotel,The Dhaba,28.6212635,77.44325256,,India,,New Delhi,541a9ae0498eabfd771d0a56,,New Delhi,Delhi,India,Vegetarian / Vegan,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,17
Rajouri Garden,Tilak Nagar,Hotel,Pindi Soya,28.631756,77.098293,,India,,New Delhi,4fa40f51e4b0b487cd01a9f9,,New Delhi,Delhi,India,Vegetarian / Vegan,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,3
Lajpat Nagar,Alaknanda ,Hotel,amritsari chole bhature,28.55299622,77.2641969,R-16 Nehru Enclave,R-16 Nehru Enclave (Kalkaji Main Road),Kalkaji Main Road,Alaknanda,515935cce4b0af515e0e9407,110019,New Delhi,Delhi,India,Vegetarian / Vegan,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,9
Sagarpur / Rohini,,Hotel,Veg,28.69609,77.140738,,India,,New Delhi,4ff9e3cde4b033b23ca9230a,,New Delhi,Delhi,India,Vegetarian / Vegan,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,11
Sagarpur / Rohini,Avantika ,Hotel,Kanha Rasoi,28.705551,77.106808,"Sector -3, Rohini","Sector -3, Rohini",,Avantika,563db592cd1044ad68a54071,110085,New Delhi,Delhi,India,Vegetarian / Vegan,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,32
Saket,"Distt. Court Complex, Saket ",Hotel,Chennai Dosa Corner,28.535631,77.212506,90/31 A,"90/31 A (Main Market, Malvinas Nagar)","Main Market, Malvinas Nagar",Distt. Court Complex  Saket   ,51ab817b498e2598bf9042fa,110017,New Delhi,Delhi,India,Vegetarian / Vegan,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,23
Connaught Place,Dariba Kalan,Hotel,Premvati Rest,28.65152098,77.23931129,Meena bazar,Meena bazar,,Meena bazar,4fe4b41be4b065cd6ebee352,,New Delhi,Delhi,India,Vegetarian / Vegan,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,21
Shahdara,,Hotel,sabras,28.65378239,77.30273484,,India,,New Delhi,4dd918148877f1151011a05f,,New Delhi,Delhi,India,Vegetarian / Vegan,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,36
DLF Phase II III IV,,Snacks,Haldiram's,28.50276451,77.09721696,Ambience Mall,Ambience Mall,,Ambience Mall,4d5f8ddc1939a35d08c216ee,,New Delhi,Delhi,India,Fast Food,Fast Food Restaurant,Fast Food Restaurants,19
"Sector 11, 12, 14, 15, 16, 24, 25 Gurugram",,Restaurant,Sagar Ratna,28.51036079,77.04857826,"HUDA Market, Sector 23","HUDA Market, Sector 23",,"HUDA Market, Sector 23",51585837e4b0e3e0b01d2f0c,,New Delhi,Delhi,India,Indian,Indian Restaurant,Indian Restaurants,30
Aliganj ,Aliganj ,Caf�,Cafe Turtle,28.6001592,77.22723799,"2nd Flr., 23, Middle Lane, Khan Market","2nd Flr., 23, Middle Lane, Khan Market",,Delhi High Court,4c72bd2d1b11199c351c5b13,110003,New Delhi,Delhi,India,Café,Café,Cafés,26
Saket,"Distt. Court Complex, Saket ",Restaurant,Khan Chacha,28.52817038,77.21920724,"G 3, Select Citywalk Mall, District Centre, Saket","G 3, Select Citywalk Mall, District Centre, Saket (Next to KFC)",Next to KFC,Distt. Court Complex  Saket   ,4f5c8cf6e4b086681c1463df,110017,New Delhi,Delhi,India,Indian,Indian Restaurant,Indian Restaurants,23
Arjun Nagar ,Arjun Nagar ,Hotel,SFG Spice Flame Grill,28.454067,77.051436,,Gurugram 122001,,Gurugram 122001,5feb3f010985f93a58c8a540,122001,New Delhi,Delhi,India,Vegetarian / Vegan,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,0
Faridabad,Sector 43 - Faridabad,Hotel,"wah hi wah, Omax Hills ,SurajKund -Badkal Road",28.460367,77.284631,Web Ji Wah,"Web Ji Wah (Opp. Omax Hills, Surajkund- Badkal Road)","Opp. Omax Hills, Surajkund- Badkal Road","Opp. Omax Hills, Surajkund- Badkal Road",579f8a9c498ed629a9726bbd,121003,New Delhi,Delhi,India,Vegetarian / Vegan,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,29
Aliganj ,,Hotel,Haldiram's,28.568306,77.219887,,India,,New Delhi,529875bf11d280103dc75dd9,,New Delhi,Delhi,India,Vegetarian / Vegan,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,33
Masood Pur ,Masood Pur ,Hotel,Sagar ratna,28.52522464,77.15564848,"Vasant Square Mall, Vasant Kunj","Vasant Square Mall, Vasant Kunj",,Masood Pur,4c0e649c336220a14019cc77,110070,New Delhi,Delhi,India,Vegetarian / Vegan,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,25
Greater Kailash,,Hotel,Marwari Bhoj,28.74841636,77.48959773,"Murad Nagar,","Murad Nagar, (Meerut Road)",Meerut Road,Meerut Road,4cb162631463a1432364a5a9,,New Delhi,Delhi,India,Vegetarian / Vegan,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,37
Karol Bagh,Nehru Place,Hotel,Safal,28.54013416,77.25867569,"Main Road Kalkaji, Kalkaji","Main Road Kalkaji, Kalkaji",,"Main Road Kalkaji, Kalkaji",4c7e5cb29221236a32d5813d,,New Delhi,Delhi,India,Vegetarian / Vegan,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,15
Karol Bagh,,Hotel,a2b veg restaurant,28.64946,77.192281,,India,,New Delhi,5757a258498ed6ec738cbfe2,,New Delhi,Delhi,India,Vegetarian / Vegan,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,5
,,Hotel,Sanskriti,28.49448714,77.09231564,,India,,New Delhi,4ee74ddc6c25be96330c86f4,,New Delhi,Delhi,India,Vegetarian / Vegan,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,19
Ghaziabad,,Hotel,kama,28.63678997,77.32818828,Raddison BLU,Raddison BLU (Kausambhi),Kausambhi,Kausambhi,51795221e4b00a1c9bff789a,,New Delhi,Delhi,India,Vegetarian / Vegan,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,1
Karol Bagh,Anand Parbat ,Hotel,Udipi,28.646674,77.189242,,New Delhi 110005,,Anand Parbat,5c7261853fffb4002573a1f8,110005,New Delhi,Delhi,India,Vegetarian / Vegan,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,5
